code,description
LE-5.2f,"Contraction of infectious disease, and personal behaviors such as use of toxic substances and some dietary habits, may interfere with one’s dynamic equilibrium. During pregnancy these conditions may also affect the development of the child. Some effects of these conditions are immediate; others may not appear for many years. "
LE-6.1a,"Energy flows through ecosystems in one direction, usually from the Sun, through producers to consumers and then to decomposers. This process may be visualized with food chains or energy pyramids."
LE-6.1b,"Food webs identify feeding relationships among producers, consumers, and decomposers in an ecosystem."
LE-6.1c,"Matter is transferred from one organism to another and between organisms and their physical environment. Water, nitrogen, carbon dioxide, and oxygen are examples of substances cycled between the living and nonliving environment."
LE-6.2a,"Photosynthesis is carried on by green plants and other organisms containing chlorophyll. In this process, the Sun’s energy is converted into and stored as chemical energy in the form of a sugar. The quantity of sugar molecules increases in green plants during photosynthesis in the presence of sunlight."
LE-6.2b,The major source of atmospheric oxygen is photosynthesis. Carbon dioxide is removed from the atmosphere and oxygen is released during photosynthesis.
LE-6.2c,Green plants are the producers of food which is used directly or indirectly by consumers.
LE-7.1a,A population consists of all individuals of a species that are found together at a given place and time. Populations living in one place form a community. The community and the physical factors with which it interacts compose an ecosystem.
LE-7.1b,"Given adequate resources and no disease or predators, populations (including humans) increase. Lack of resources, habitat destruction, and other factors such as predation and climate limit the growth of certain populations in the ecosystem."
LE-7.1c,"In all environments, organisms interact with one another in many ways. Relationships among organisms may be competitive, harmful, or beneficial. Some species have adapted to be dependent upon each other with the result that neither could survive without the other."
LE-7.1d,Some microorganisms are essential to the survival of other living things.
LE-7.1e,"The environment may contain dangerous levels of substances (pollutants) that are harmful to organisms. Therefore, the good health of environments and individuals requires the monitoring of soil, air, and water, and taking steps to keep them safe. "
LE-7.2a,"In ecosystems, balance is the result of interactions between community members and their environment."
LE-7.2b,"The environment may be altered through the activities of organisms. Alterations are sometimes abrupt. Some species may replace others over time, resulting in long- term gradual changes (ecological succession)."
LE-7.2c,"Overpopulation by any species impacts the environment due to the increased use of resources. Human activities can bring about environmental degradation through resource acquisition, urban growth, land-use decisions, waste disposal, etc."
LE-7.2d,"Since the Industrial Revolution, human activities have resulted in major pollution of air, water, and soil. Pollution has cumulative ecological effects such as acid rain, global warming, or ozone depletion. The survival of living things on our planet depends on the conservation and protection of Earth’s resources."
PS- 1.1a,Earth’s Sun is an average-sized star. The Sun is more than a million times greater in volume than Earth.
PS- 1.1b,Other stars are like the Sun but are so far away that they look like points of light. Distances between stars are vast compared to distances within our solar system.
PS- 1.1c,"The Sun and the planets that revolve around it are the major bodies in the solar system. Other members include comets, moons, and asteroids. Earth’s orbit is nearly circular."
PS- 1.1d,Gravity is the force that keeps planets in orbit around the Sun and the Moon in orbit around the Earth.
PS- 1.1e,"Most objects in the solar system have a regular and predictable motion. These motions explain such phenomena as a day, a year, phases of the Moon, eclipses, tides, meteor showers, and comets."
PS- 1.1f,The latitude/longitude coordinate system and our system of time are based on celestial observations.
PS- 1.1g,"Moons are seen by reflected light. Our Moon orbits Earth, while Earth orbits the Sun. The Moon’s phases as observed from Earth are the result of seeing different portions of the lighted area of the Moon’s surface. The phases repeat in a cyclic pattern in about one month."
PS- 1.1h,"The apparent motions of the Sun, Moon, planets, and stars across the sky can be explained by Earth’s rotation and revolution. Earth’s rotation causes the length of one day to be approximately 24 hours. This rotation also causes the Sun and Moon to appear to rise along the eastern horizon and to set along the western horizon. Earth’s revolution around the Sun defines the length of the year as 365 1/4 days."
PS- 1.1i,The tilt of Earth’s axis of rotation and the revolution of Earth around the Sun cause seasons on Earth. The length of daylight varies depending on latitude and season.
PS- 1.1j,"The shape of Earth, the other planets, and stars is nearly spherical. "
PS-2.1a,"Nearly all the atmosphere is confined to a thin shell surrounding Earth. The atmos- phere is a mixture of gases, including nitrogen and oxygen with small amounts of water vapor, carbon dioxide, and other trace gases. The atmosphere is stratified into layers, each having distinct properties. Nearly all weather occurs in the lowest layer of the atmosphere."
PS-2.1b,"As altitude increases, air pressure decreases."
PS-2.1c,The rock at Earth’s surface forms a nearly continuous shell around Earth called the lithosphere.
PS-2.1d,The majority of the lithosphere is covered by a relatively thin layer of water called the hydrosphere.
PS-2.1e,"Rocks are composed of minerals. Only a few rock-forming minerals make up most of the rocks of Earth. Minerals are identified on the basis of physical properties such as streak, hardness, and reaction to acid."
PS-2.1f,Fossils are usually found in sedimentary rocks. Fossils can be used to study past climates and environments.
PS-2.1g,The dynamic processes that wear away Earth’s surface include weathering and erosion.
PS-2.1h,"The process of weathering breaks down rocks to form sediment. Soil consists of sediment, organic material, water, and air."
PS-2.1i,"Erosion is the transport of sediment. Gravity is the driving force behind erosion. Gravity can act directly or through agents such as moving water, wind, and glaciers."
PS-2.1j,"Water circulates through the atmosphere, lithosphere, and hydrosphere in what is known as the water cycle."
PS-2.2a,"The interior of Earth is hot. Heat flow and movement of material within Earth cause sections of Earth’s crust to move. This may result in earthquakes, volcanic eruption, and the creation of mountains and ocean basins."
PS-2.2b,"Analysis of earthquake wave data (vibrational disturbances) leads to the conclusion that there are layers within Earth. These layers—the crust, mantle, outer core, and inner core—have distinct properties."
PS-2.2c,"Folded, tilted, faulted, and displaced rock layers suggest past crustal movement."
PS-2.2d,Continents fitting together like puzzle parts and fossil correlations provided initial evidence that continents were once together.
PS-2.2e,The Theory of Plate Tectonics explains how the “solid” lithosphere consists of a series of plates that “float” on the partially molten section of the mantle. Convection cells within the mantle may be the driving force for the movement of the plates.
PS-2.2f,"Plates may collide, move apart, or slide past one another. Most volcanic activity and mountain building occur at the boundaries of these plates, often resulting in earthquakes."
PS-2.2g,"Rocks are classified according to their method of formation. The three classes of rocks are sedimentary, metamorphic, and igneous. Most rocks show characteristics that give clues to their formation conditions."
PS-2.2h,The rock cycle model shows how types of rock or rock material may be transformed from one type of rock to another.
PS-2.2i,Weather describes the conditions of the atmosphere at a given location for a short period of time.
PS-2.2j,Climate is the characteristic weather that prevails from season to season and year to year.
PS-2.2k,The uneven heating of Earth’s surface is the cause of weather.
PS-2.2l,"Air masses form when air remains nearly stationary over a large section of Earth’s surface and takes on the conditions of temperature and humidity from that location. Weather conditions at a location are determined primarily by temperature, humidity, and pressure of air masses over that location."
PS-2.2m,Most local weather condition changes are caused by movement of air masses.
PS-2.2n,The movement of air masses is determined by prevailing winds and upper air currents.
PS-2.2o,Fronts are boundaries between air masses. Precipitation is likely to occur at these boundaries.
PS-2.2p,"High-pressure systems generally bring fair weather. Low-pressure systems usually bring cloudy, unstable conditions. The general movement of highs and lows is from west to east across the United States."
PS-2.2q,"Hazardous weather conditions include thunderstorms, tornadoes, hurricanes, ice storms, and blizzards. Humans can prepare for and respond to these conditions if given sufficient warning."
PS-2.2r,"Substances enter the atmosphere naturally and from human activity. Some of these substances include dust from volcanic eruptions and greenhouse gases such as carbon dioxide, methane, and water vapor. These substances can affect weather, climate, and living things."
PS-3.1a,"Substances have characteristic properties. Some of these properties include color, odor, phase at room temperature, density, solubility, heat and electrical conductivity, hardness, and boiling and freezing points."
PS-3.1b,"Solubility can be affected by the nature of the solute and solvent, temperature, and pressure. The rate of solution can be affected by the size of the particles, stirring, temperature, and the amount of solute already dissolved."
PS-3.1c,The motion of particles helps to explain the phases (states) of matter as well as changes from one phase to another. The phase in which matter exists depends on the attractive forces among its particles.
PS-3.1d,Gases have neither a determined shape nor a definite volume. Gases assume the shape and volume of a closed container.
PS-3.1e,"A liquid has definite volume, but takes the shape of a container."
PS-3.1f,A solid has definite shape and volume. Particles resist a change in position.
PS-3.1g,"Characteristic properties can be used to identify different materials, and separate a mixture of substances into its components. For example, iron can be removed from a mixture by means of a magnet. An insoluble substance can be separated from a soluble substance by such processes as filtration, settling, and evaporation."
PS-3.1h,"Density can be described as the amount of matter that is in a given amount of space. If two objects have equal volume, but one has more mass, the one with more mass is denser."
PS-3.1i,Buoyancy is determined by comparative densities.
PS-3.2a,"During a physical change a substance keeps its chemical composition and proper- ties. Examples of physical changes include freezing, melting, condensation, boiling, evaporation, tearing, and crushing."
PS-3.2b,Mixtures are physical combinations of materials and can be separated by physical means.
PS-3.2c,"During a chemical change, substances react in characteristic ways to form new substances with different physical and chemical properties. Examples of chemical changes include burning of wood, cooking of an egg, rusting of iron, and souring of milk."
PS-3.2d,"Substances are often placed in categories if they react in similar ways. Examples include metals, nonmetals, and noble gases."
PS-3.2e,"The Law of Conservation of Mass states that during an ordinary chemical reaction matter cannot be created or destroyed. In chemical reactions, the total mass of the reactants equals the total mass of the products."
PS-3.3a,All matter is made up of atoms. Atoms are far too small to see with a light microscope.
PS-3.3b,"Atoms and molecules are perpetually in motion. The greater the temperature, the greater the motion."
PS-3.3c,Atoms may join together in well-defined molecules or may be arranged in regular geometric patterns.
PS-3.3d,Interactions among atoms and/or molecules result in chemical reactions.
PS-3.3e,The atoms of any one element are different from the atoms of other elements.
PS-3.3f,There are more than 100 elements. Elements combine in a multitude of ways to produce compounds that account for all living and nonliving substances. Few elements are found in their pure form.
PS-3.3g,"The periodic table is one useful model for classifying elements. The periodic table can be used to predict properties of elements (metals, nonmetals, noble gases). "
PS-4.1a,The Sun is a major source of energy for Earth. Other sources of energy include nuclear and geothermal energy.
PS-4.1b,"Fossil fuels contain stored solar energy and are considered non-renewable resources. They are a major source of energy in the United States. Solar energy, wind, moving water, and biomass are some examples of renewable energy resources ."
PS-4.1c,"Most activities in everyday life involve one form of energy being transformed into another. For example, the chemical energy in gasoline is transformed into mechanical energy in an automobile engine. Energy, in the form of heat, is almost always one of the products of energy transformations."
PS-4.1d,"Different forms of energy include heat, light, electrical, mechanical, sound, nuclear, and chemical. Energy is transformed in many ways."
PS-4.1e,"Energy can be considered to be either kinetic energy, which is the energy of motion, or potential energy, which depends on relative position."
PS-4.2a,"Heat moves in predictable ways, flowing from warmer objects to cooler ones, until both reach the same temperature."
PS-4.2b,"Heat can be transferred through matter by the collisions of atoms and/or molecules (conduction) or through space (radiation). In a liquid or gas, currents will facilitate the transfer of heat (convection)."
PS-4.2c,"During a phase change, heat energy is absorbed or released. Energy is absorbed when a solid changes to a liquid and when a liquid changes to a gas. Energy is released when a gas changes to a liquid and when a liquid changes to a solid."
PS-4.2d,"Most substances expand when heated and contract when cooled. Water is an exception, expanding when changing to ice."
PS-4.2e,Temperature affects the solubility of some substances in water.
PS-4.3a,"In chemical reactions, energy is transferred into or out of a system. Light, electricity, or mechanical motion may be involved in such transfers in addition to heat."
PS-4.4a,"Different forms of electromagnetic energy have different wavelengths. Some examples of electromagnetic energy are microwaves, infrared light, visible light, ultraviolet light, X-rays, and gamma rays."
PS-4.4b,"Light passes through some materials, sometimes refracting in the process. Materials absorb and reflect light, and may transmit light. To see an object, light from that object, emitted by or reflected from it, must enter the eye."
PS-4.4c,Vibrations in materials set up wave-like disturbances that spread away from the source. Sound waves are an example. Vibrational waves move at different speeds in different materials. Sound cannot travel in a vacuum.
PS-4.4d,Electrical energy can be produced from a variety of energy sources and can be transformed into almost any other form of energy.
PS-4.4e,Electrical circuits provide a means of transferring electrical energy.
PS-4.4f,"Without touching them, material that has been electrically charged attracts uncharged material, and may either attract or repel other charged material."
PS-4.4g,"Without direct contact, a magnet attracts certain materials and either attracts or repels other magnets. The attractive force of a magnet is greatest at its poles."
PS-4.5a,"Energy cannot be created or destroyed, but only changed from one form into another."
PS-4.5b,"Energy can change from one form to another, although in the process some energy is always converted to heat. Some systems transform energy with less loss of heat than others."
PS-5.1a,The motion of an object is always judged with respect to some other object or point. The idea of absolute motion or rest is misleading.
PS-5.1b,"The motion of an object can be described by its position,direction of motion,and speed."
PS-5.1c,An object’s motion is the result of the combined effect of all forces acting on the object. A moving object that is not subjected to a force will continue to move at a constant speed in a straight line. An object at rest will remain at rest.
PS-5.1d,"Force is directly related to an object’s mass and acceleration. The greater the force, the greater the change in motion."
PS-5.1e,For every action there is an equal and opposite reaction.
PS-5.2a,Every object exerts gravitational force on every other object. Gravitational force depends on how much mass the objects have and on how far apart they are. Gravity is one of the forces acting on orbiting objects and projectiles.
PS-5.2b,Electric currents and magnets can exert a force on each other.
PS-5.2c,Machines transfer mechanical energy from one object to another.
PS-5.2d,Friction is a force that opposes motion.
PS-5.2e,A machine can be made more efficient by reducing friction. Some common ways of reducing friction include lubricating or waxing surfaces.
PS-5.2f,"Machines can change the direction or amount of force, or the distance or speed of force required to do work."
PS-5.2g,"Simple machines include a lever, a pulley, a wheel and axle, and an inclined plane. A complex machine uses a combination of interacting simple machines, e.g., a bicycle."
